service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
64401,1,1,1,1,1,0,0,20220210,20220212
64402,1,1,1,1,0,0,0,20220210,20220212
64403,0,1,1,1,1,0,0,20220210,20220212
64404,0,1,1,1,1,0,0,20220210,20220212
64405,0,0,0,0,1,0,0,20220210,20220212
64406,0,0,0,0,0,1,0,20220210,20220212
64407,0,0,0,0,0,1,0,20220210,20220212
64408,0,0,0,0,0,0,1,20220210,20220212
64409,0,0,0,0,0,0,1,20220210,20220212
64410,0,0,1,1,1,1,0,20220210,20220212
64411,0,1,1,1,1,1,0,20220210,20220212
64412,0,1,1,1,1,1,0,20220210,20220212
64413,1,0,0,0,0,0,0,20220210,20220212
64414,1,0,0,0,0,0,0,20220210,20220212
64415,1,0,0,0,0,0,0,20220210,20220212
64416,0,1,0,0,0,0,0,20220210,20220212
64417,0,1,0,0,0,0,0,20220210,20220212
64418,1,0,1,1,1,0,0,20220210,20220212
64419,1,0,1,1,1,0,0,20220210,20220212
64420,0,0,1,0,0,0,0,20220210,20220212
64421,0,0,1,0,0,0,0,20220210,20220212
64422,1,1,0,1,1,0,0,20220210,20220212
64423,1,1,0,1,1,0,0,20220210,20220212
64424,0,0,0,1,0,0,0,20220210,20220212
64425,0,0,0,1,0,0,0,20220210,20220212
64426,1,1,1,0,1,0,0,20220210,20220212
64427,1,1,1,0,1,0,0,20220210,20220212
64428,0,1,1,0,0,0,0,20220210,20220212
64429,0,1,1,0,0,0,0,20220210,20220212
64430,1,0,0,1,1,0,0,20220210,20220212
64431,1,0,0,1,1,0,0,20220210,20220212
64432,1,1,0,0,1,0,0,20220210,20220212
64433,1,1,0,0,1,0,0,20220210,20220212
64434,1,1,1,1,1,0,1,20220210,20220212
64435,1,1,1,1,1,0,1,20220210,20220212
64436,1,1,1,1,1,1,0,20220210,20220212
64437,1,1,1,1,1,1,0,20220210,20220212
64438,1,1,1,1,1,1,0,20220210,20220212
64439,1,1,1,1,1,0,0,20220210,20220212
64440,1,1,1,1,0,0,1,20220210,20220212
64441,0,1,1,0,1,0,0,20220210,20220212
64442,0,1,1,0,1,0,0,20220210,20220212
64501,1,1,1,1,1,0,0,20220213,20220430
64502,1,1,1,1,0,0,0,20220213,20220430
64503,0,1,1,1,1,0,0,20220213,20220430
64504,0,1,1,1,1,0,0,20220213,20220430
64505,0,0,0,0,1,0,0,20220213,20220430
64506,0,0,0,0,0,1,0,20220213,20220430
64507,0,0,0,0,0,1,0,20220213,20220430
64508,0,0,0,0,0,0,1,20220213,20220430
64509,0,0,0,0,0,0,1,20220213,20220430
64510,0,0,1,1,1,1,0,20220213,20220430
64511,0,1,1,1,1,1,0,20220213,20220430
64512,0,1,1,1,1,1,0,20220213,20220430
64513,1,0,0,0,0,0,0,20220213,20220430
64514,1,0,0,0,0,0,0,20220213,20220430
64515,1,0,0,0,0,0,0,20220213,20220430
64516,0,1,0,0,0,0,0,20220213,20220430
64517,0,1,0,0,0,0,0,20220213,20220430
64518,1,0,1,1,1,0,0,20220213,20220430
64519,1,0,1,1,1,0,0,20220213,20220430
64520,0,0,1,0,0,0,0,20220213,20220430
64521,0,0,1,0,0,0,0,20220213,20220430
64522,1,1,0,1,1,0,0,20220213,20220430
64523,1,1,0,1,1,0,0,20220213,20220430
64524,0,0,0,1,0,0,0,20220213,20220430
64525,0,0,0,1,0,0,0,20220213,20220430
64526,1,1,1,0,1,0,0,20220213,20220430
64527,1,1,1,0,1,0,0,20220213,20220430
64528,0,1,1,0,0,0,0,20220213,20220430
64529,0,1,1,0,0,0,0,20220213,20220430
64530,1,0,0,1,1,0,0,20220213,20220430
64531,1,0,0,1,1,0,0,20220213,20220430
64532,1,1,0,0,1,0,0,20220213,20220430
64533,1,1,0,0,1,0,0,20220213,20220430
64534,1,1,1,1,1,0,1,20220213,20220430
64535,1,1,1,1,1,0,1,20220213,20220430
64536,1,1,1,1,1,1,0,20220213,20220430
64537,1,1,1,1,1,1,0,20220213,20220430
64538,1,1,1,1,1,1,0,20220213,20220430
64539,1,1,1,1,1,0,0,20220213,20220430
64540,1,1,1,1,0,0,1,20220213,20220430
64541,0,1,1,0,1,0,0,20220213,20220430
64542,0,1,1,0,1,0,0,20220213,20220430
106701,1,1,1,1,1,0,0,20220210,20220430
106702,1,1,1,1,0,0,0,20220210,20220430
106703,0,1,1,1,1,0,0,20220210,20220430
106704,0,1,1,1,1,0,0,20220210,20220430
106705,0,0,0,0,1,0,0,20220210,20220430
106706,0,0,0,0,0,1,0,20220210,20220430
106707,0,0,0,0,0,1,0,20220210,20220430
106708,0,0,0,0,0,0,1,20220210,20220430
106709,0,0,0,0,0,0,1,20220210,20220430
106710,0,0,1,1,1,1,0,20220210,20220430
106711,0,1,1,1,1,1,0,20220210,20220430
106712,0,1,1,1,1,1,0,20220210,20220430
106713,1,0,0,0,0,0,0,20220210,20220430
106714,1,0,0,0,0,0,0,20220210,20220430
106715,1,0,0,0,0,0,0,20220210,20220430
106716,0,1,0,0,0,0,0,20220210,20220430
106717,0,1,0,0,0,0,0,20220210,20220430
106718,1,0,1,1,1,0,0,20220210,20220430
106719,1,0,1,1,1,0,0,20220210,20220430
106720,0,0,1,0,0,0,0,20220210,20220430
106721,0,0,1,0,0,0,0,20220210,20220430
106722,1,1,0,1,1,0,0,20220210,20220430
106723,1,1,0,1,1,0,0,20220210,20220430
106724,0,0,0,1,0,0,0,20220210,20220430
106725,0,0,0,1,0,0,0,20220210,20220430
106726,1,1,1,0,1,0,0,20220210,20220430
106727,1,1,1,0,1,0,0,20220210,20220430
106728,0,1,1,0,0,0,0,20220210,20220430
106729,0,1,1,0,0,0,0,20220210,20220430
106730,1,0,0,1,1,0,0,20220210,20220430
106731,1,0,0,1,1,0,0,20220210,20220430
106732,1,1,0,0,1,0,0,20220210,20220430
106733,1,1,0,0,1,0,0,20220210,20220430
106734,1,1,1,1,1,0,1,20220210,20220430
106735,1,1,1,1,1,0,1,20220210,20220430
106736,1,1,1,1,1,1,0,20220210,20220430
106737,1,1,1,1,1,1,0,20220210,20220430
106738,1,1,1,1,1,1,0,20220210,20220430
106739,1,1,1,1,1,0,0,20220210,20220430
106740,1,1,1,1,0,0,1,20220210,20220430
106741,0,1,1,0,1,0,0,20220210,20220430
106742,0,1,1,0,1,0,0,20220210,20220430
206701,1,1,1,1,1,0,0,20220210,20220430
BLS-101,1,1,1,1,1,1,1,20200801,20221231
130-101,1,1,1,1,1,1,1,20220212,20220221
