trip_id,start_time,end_time,headway_secs
BLS-101-1,00:00:00,04:01:00,900
130-101-1,09:00:00,14:29:00,900
130-101-1,14:29:00,14:55:00,840
130-101-1,14:58:00,16:27:00,900
130-101-1,16:27:00,18:13:00,900
130-101-1,18:13:00,18:25:00,960
130-101-1,18:29:00,18:40:00,1080
130-101-1,18:47:00,19:26:00,1200
130-101-1,19:26:00,19:26:01,1200
130-101-0,09:00:00,19:00:00,900
130-101-0,19:00:00,20:00:01,1200
GLS-301-0,05:00:00,26:00:01,900
GLS-301-1,05:00:00,26:00:01,900
GLS-302-0,05:00:00,17:00:01,900
GLS-302-1,05:00:00,17:00:01,900
